"state","mmm_code","org_type_simple","total_places","avg_lat","avg_lon"
"ACT","1","Not-for-profit",66048,-35.3173898425926,149.094104894815
"ACT","1","Private",8256,-35.3173898425926,149.094104894815
"NSW","1","Government",675857,-33.6119989605768,151.185952474704
"NSW","1","Not-for-profit",28957873,-33.6119989605768,151.185952474704
"NSW","1","Private",13621118,-33.6119989605768,151.185952474704
"NSW","2","Government",15769,-35.4538038753333,148.207391490667
"NSW","2","Not-for-profit",675641,-35.4538038753333,148.207391490667
"NSW","2","Private",317806,-35.4538038753333,148.207391490667
"NSW","3","Government",139126,-32.1403963975207,150.868064324628
"NSW","3","Not-for-profit",5961014,-32.1403963975207,150.868064324628
"NSW","3","Private",2803924,-32.1403963975207,150.868064324628
"NSW","4","Government",73671,-32.881009786672,150.288828279548
"NSW","4","Not-for-profit",3156519,-32.881009786672,150.288828279548
"NSW","4","Private",1484754,-32.881009786672,150.288828279548
"NSW","5","Government",46514,-33.1387960716049,149.298943492963
"NSW","5","Not-for-profit",1992946,-33.1387960716049,149.298943492963
"NSW","5","Private",937436,-33.1387960716049,149.298943492963
"NSW","6","Government",1339,-31.509078772,146.303934268
"NSW","6","Not-for-profit",57371,-31.509078772,146.303934268
"NSW","6","Private",26986,-31.509078772,146.303934268
"NT","2","Not-for-profit",2672,-12.4150361925,130.8894053275
"NT","2","Private",334,-12.4150361925,130.8894053275
"NT","6","Not-for-profit",1800,-20.001907168,133.229125126
"NT","6","Private",225,-20.001907168,133.229125126
"QLD","1","Government",497862,-27.4299619167945,153.11455438918
"QLD","1","Not-for-profit",7936506,-27.4299619167945,153.11455438918
"QLD","1","Private",5066478,-27.4299619167945,153.11455438918
"QLD","2","Government",142579,-23.1335170734568,150.063851056543
"QLD","2","Not-for-profit",2272877,-23.1335170734568,150.063851056543
"QLD","2","Private",1450951,-23.1335170734568,150.063851056543
"QLD","3","Government",21301,-25.0311153757143,152.100394760714
"QLD","3","Not-for-profit",339563,-25.0311153757143,152.100394760714
"QLD","3","Private",216769,-25.0311153757143,152.100394760714
"QLD","4","Government",36839,-24.2977541569231,149.631589371154
"QLD","4","Not-for-profit",587257,-24.2977541569231,149.631589371154
"QLD","4","Private",374891,-24.2977541569231,149.631589371154
"QLD","5","Government",39627,-24.6369444245652,150.44814536587
"QLD","5","Not-for-profit",631701,-24.6369444245652,150.44814536587
"QLD","5","Private",403263,-24.6369444245652,150.44814536587
"QLD","6","Government",3876,-22.3671950185714,145.996540485714
"QLD","6","Not-for-profit",61788,-22.3671950185714,145.996540485714
"QLD","6","Private",39444,-22.3671950185714,145.996540485714
"QLD","7","Government",2414,-20.13578011,144.24365252
"QLD","7","Not-for-profit",38482,-20.13578011,144.24365252
"QLD","7","Private",24566,-20.13578011,144.24365252
"SA","1","Government",308726,-34.910179131282,138.603591735192
"SA","1","Not-for-profit",2118983,-34.910179131282,138.603591735192
"SA","1","Private",813914,-34.910179131282,138.603591735192
"SA","2","Government",7634,-34.96090252,138.8457669275
"SA","2","Not-for-profit",52397,-34.96090252,138.8457669275
"SA","2","Private",20126,-34.96090252,138.8457669275
"SA","3","Government",31856,-35.65434264,139.222679564
"SA","3","Not-for-profit",218648,-35.65434264,139.222679564
"SA","3","Private",83984,-35.65434264,139.222679564
"SA","4","Government",16918,-34.3698198975,138.813481970833
"SA","4","Not-for-profit",116119,-34.3698198975,138.813481970833
"SA","4","Private",44602,-34.3698198975,138.813481970833
"SA","5","Government",36322,-34.4189740091892,138.901853848919
"SA","5","Not-for-profit",249301,-34.4189740091892,138.901853848919
"SA","5","Private",95758,-34.4189740091892,138.901853848919
"SA","6","Government",3300,-34.718394925,135.843680725
"SA","6","Not-for-profit",22650,-34.718394925,135.843680725
"SA","6","Private",8700,-34.718394925,135.843680725
"TAS","2","Government",14300,-42.3833975553659,147.254691095854
"TAS","2","Not-for-profit",196625,-42.3833975553659,147.254691095854
"TAS","2","Private",28600,-42.3833975553659,147.254691095854
"TAS","3","Government",3792,-41.128012929,146.130308307
"TAS","3","Not-for-profit",52140,-41.128012929,146.130308307
"TAS","3","Private",7584,-41.128012929,146.130308307
"TAS","5","Government",2400,-41.814924795,146.856709483333
"TAS","5","Not-for-profit",33000,-41.814924795,146.856709483333
"TAS","5","Private",4800,-41.814924795,146.856709483333
"TAS","6","Government",264,-42.103984505,146.81733733
"TAS","6","Not-for-profit",3630,-42.103984505,146.81733733
"TAS","6","Private",528,-42.103984505,146.81733733
"TAS","7","Government",92,-40.02616375,145.934641075
"TAS","7","Not-for-profit",1265,-40.02616375,145.934641075
"TAS","7","Private",184,-40.02616375,145.934641075
"VIC","1","Government",6463404,-37.8834817892048,145.015059698523
"VIC","1","Not-for-profit",12113532,-37.8834817892048,145.015059698523
"VIC","1","Private",13140828,-37.8834817892048,145.015059698523
"VIC","2","Government",713928,-37.431170867963,144.481635089259
"VIC","2","Not-for-profit",1338024,-37.431170867963,144.481635089259
"VIC","2","Private",1451496,-37.431170867963,144.481635089259
"VIC","3","Government",594638,-36.8509560177551,144.681087388163
"VIC","3","Not-for-profit",1114454,-36.8509560177551,144.681087388163
"VIC","3","Private",1208966,-36.8509560177551,144.681087388163
"VIC","4","Government",645676,-37.4192800760937,145.098963897188
"VIC","4","Not-for-profit",1210108,-37.4192800760938,145.098963897188
"VIC","4","Private",1312732,-37.4192800760937,145.098963897188
"VIC","5","Government",551150,-37.0713348266372,144.090217628142
"VIC","5","Not-for-profit",1032950,-37.0713348266372,144.090217628142
"VIC","5","Private",1120550,-37.0713348266372,144.090217628142
"VIC","6","Government",3020,-35.903416275,141.99500702
"VIC","6","Not-for-profit",5660,-35.903416275,141.99500702
"VIC","6","Private",6140,-35.903416275,141.99500702
"WA","1","Government",34634,-32.0014726344054,115.854370337414
"WA","1","Not-for-profit",2666818,-32.0014726344054,115.854370337414
"WA","1","Private",1610481,-32.0014726344054,115.854370337414
"WA","2","Government",1270,-33.3475792485714,115.64656269
"WA","2","Not-for-profit",97790,-33.3475792485714,115.64656269
"WA","2","Private",59055,-33.3475792485714,115.64656269
"WA","3","Government",2556,-32.6974647475,117.2848599925
"WA","3","Not-for-profit",196812,-32.6974647475,117.2848599925
"WA","3","Private",118854,-32.6974647475,117.2848599925
"WA","4","Government",376,-32.6530245125,116.145726735
"WA","4","Not-for-profit",28952,-32.6530245125,116.145726735
"WA","4","Private",17484,-32.6530245125,116.145726735
"WA","5","Government",1068,-33.1810738107143,116.708989922857
"WA","5","Not-for-profit",82236,-33.1810738107143,116.708989922857
"WA","5","Private",49662,-33.1810738107143,116.708989922857
"WA","6","Government",490,-23.253786355,119.9648523825
"WA","6","Not-for-profit",37730,-23.253786355,119.9648523825
"WA","6","Private",22785,-23.253786355,119.9648523825
"WA","7","Government",222,-17.0892555,126.679277333333
"WA","7","Not-for-profit",17094,-17.0892555,126.679277333333
"WA","7","Private",10323,-17.0892555,126.679277333333
